REGION,CLUSTER TYPE,AGE,GENDER,MARITAL STATUS,EDUCATION LEVEL,SOURCE OF INCOME,TYPE OF EMPLOYER,EMPLOYMENT STATUS,FINANCIAL LITERATE,STRUGGLE WITH EXPENSES,SERVICE USED FOR MANAGING MONEY,TYPE OF HEALTH INSTITUTION HE ATTENDS,AWARE OF INSURANCE SERVICES,DONT NEED INSURANCE,TARGET VARIABLE,ins3_1__1,ins3_1__2,ins3_1__3,ins3_1__4,ins3_1__5,ins3_1__6,ins3_1__7,ins3_1__8,ins3_1__9,ins3_1__10,ins3_1__11,ins3_1__12,ins3_1__13,ins3_1__14,ins3_1__15,ins3_1__16,ins3_1__17,ins3_1__18,SATISFIED WITH INSURANCE
Songwe,Rural,29,Male,Single/never married,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,32,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Njombe,Rural,53,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,53,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always, ,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,44,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,33,Female,Married/living together,Secondary competed-O level, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,68,Male,Married/living together,Primary completed, , , ,TRUE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,35,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,27,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,19,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,35,Female,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,59,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,36,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,63,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,41,Female,Divorced/separated,No formal education,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,59,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,46,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,48,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,28,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,57,Male,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,rarely,Mobile Money Agents,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Rural,51,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,sometimes,Insurance services e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,73,Female,Widowed,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,56,Female,Married/living together,Primary completed,Social welfare money/grant from Government, , ,FALSE,always, ,Public health care facility,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tanga,Rural,33,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,70,Male,Married/living together,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,75,Male,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mara,Rural,24,Female,Married/living together,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,17,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,never,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,43,Female,Married/living together,No formal education,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,45,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,25,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,TRUE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,57,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,54,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,40,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,22,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,sometimes,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Pharmacy,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,70,Male,Divorced/separated,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,33,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,47,Female,Widowed,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kagera,Rural,67,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Banks e.g,Private health care facility /consult private doctor,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Tanga,Rural,27,Female,Divorced/separated,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,62,Male,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Arusha,Rural,57,Female,Widowed,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,62,Female,Divorced/separated,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Traditional healer,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,57,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,23,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Other,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,38,Male,Married/living together,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,73,Female,Divorced/separated,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,64,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,33,Female,Married/living together,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,30,Male,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,64,Female,Widowed,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,60,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,70,Female,Divorced/separated,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,68,Male,Married/living together,Primary completed, , , ,FALSE,often, ,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
